,acousticness,danceability,energy,instrumentalness,key,livenepathsss,loudness,mode,speechiness,tempo,time_signature
68,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999
69,0.0218,0.527,0.902,1.97e-06,2,0.113,-5.346,1,0.035,82.014,4
70,0.465,0.619,0.437,0.00609,7,0.0971,-11.756,1,0.0314,89.511,4
71,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999
72,0.00239,0.429,0.661,0.00013,11,0.234,-7.227,1,0.0281,173.365,4
73,0.0642,0.743,0.53,0.0,7,0.36,-6.61,1,0.0329,96.996,4
74,0.0593,0.695,0.684,0.0,0,0.125,-5.403,0,0.0288,102.041,4
75,0.343,0.46,0.622,0.0,0,0.124,-3.239,1,0.0293,79.81,4
76,0.0742,0.309,0.76,0.000118,0,0.444,-5.363,1,0.0386,139.36,4
77,0.306,0.432,0.742,0.0,10,0.127,-6.081,1,0.0304,154.158,4
78,0.0222,0.35,0.572,0.0214,5,0.146,-8.399,1,0.0253,93.013,4
79,0.267,0.584,0.509,0.00252,2,0.36,-13.109,1,0.0287,90.457,4
80,0.163,0.209,0.418,0.00195,3,0.113,-8.74,1,0.0338,138.265,4
81,0.0571,0.671,0.529,0.0,3,0.108,-5.009,1,0.0246,136.07,4
82,0.392,0.482,0.55,0.0208,9,0.111,-4.485,1,0.0267,114.435,3
83,0.551,0.582,0.395,0.000118,10,0.258,-8.279,1,0.0274,117.179,4
84,0.0186,0.571,0.622,3.53e-06,2,0.119,-4.447,1,0.0245,142.05,4
85,0.0557,0.632,0.822,0.000485,5,0.145,-5.737,1,0.0281,115.113,4
86,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999
87,0.0621,0.579,0.597,0.0,2,0.274,-4.942,0,0.0247,164.022,4
88,0.0228,0.5,0.844,0.00398,10,0.455,-5.883,1,0.0369,123.727,4
89,0.0652,0.72,0.668,0.00664,9,0.0789,-7.928,1,0.0269,123.007,4
90,0.354,0.763,0.428,0.0889,6,0.106,-13.486,0,0.032,117.938,4
91,0.00295,0.443,0.631,0.00324,8,0.106,-8.568,0,0.0326,124.212,4
92,0.0219,0.502,0.574,0.0,6,0.104,-5.786,1,0.0259,163.025,4
93,0.142,0.675,0.764,0.0,1,0.117,-6.243,1,0.0373,120.009,4
94,0.0799,0.568,0.782,0.0,6,0.0985,-5.968,1,0.0396,141.942,4
95,0.191,0.624,0.554,0.00131,2,0.299,-8.113,1,0.0225,97.031,4
96,0.0879,0.595,0.675,0.0,0,0.12,-6.696,1,0.035,134.08,4
97,0.203,0.669,0.673,0.0271,7,0.164,-9.754,1,0.0248,132.68,4
98,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999
99,0.288,0.559,0.51,5.31e-05,5,0.242,-8.294,0,0.0247,129.881,4
100,0.293,0.701,0.569,1.72e-05,0,0.0703,-6.587,1,0.0272,80.186,4
101,0.456,0.535,0.445,0.0677,4,0.112,-9.155,1,0.0292,146.099,4
102,0.189,0.561,0.547,0.00157,11,0.17,-7.496,0,0.0321,139.755,4
103,0.818,0.517,0.344,0.00809,9,0.0763,-9.925,1,0.0303,75.285,3
104,0.887,0.538,0.317,0.424,4,0.112,-15.237,0,0.0299,79.929,4
105,0.666,0.381,0.411,0.0,10,0.0783,-9.772,0,0.0317,132.91,4
106,0.453,0.595,0.756,0.0,4,0.0989,-4.524,0,0.0304,95.999,4
107,0.00238,0.652,0.583,1.51e-06,3,0.0987,-2.779,1,0.0356,167.984,4
108,0.953,0.432,0.261,0.00342,4,0.0903,-12.591,1,0.0512,89.567,4
109,0.573,0.668,0.361,0.00506,1,0.0805,-8.69,0,0.0273,134.15,5
110,0.00048,0.62,0.845,0.0,2,0.0692,-5.937,1,0.0351,139.967,4
111,0.0258,0.626,0.635,0.0,3,0.202,-3.433,1,0.0286,112.01,3
112,0.305,0.641,0.461,8.26e-05,5,0.0982,-8.341,1,0.0459,88.037,4
113,0.272,0.508,0.72,0.0,11,0.0563,-5.908,0,0.0628,79.983,4
114,0.000448,0.449,0.737,0.0,3,0.104,-3.236,1,0.0306,76.993,4
115,0.388,0.307,0.433,9.08e-05,1,0.332,-10.057,1,0.029,160.9,4
116,0.633,0.675,0.479,1.76e-05,0,0.088,-9.87,0,0.0278,81.998,4
117,0.326,0.606,0.441,0.0128,9,0.116,-9.303,1,0.0272,66.443,3
118,0.0906,0.341,0.867,0.0,6,0.122,-3.856,0,0.0402,162.258,3
119,0.0191,0.584,0.701,0.0,0,0.0676,-4.238,1,0.0247,95.685,4
120,0.0266,0.526,0.672,0.014,9,0.133,-7.89,1,0.029,134.332,4
121,0.0152,0.728,0.62,0.0,3,0.227,-3.735,1,0.0308,110.023,4
122,0.236,0.65,0.438,1.65e-06,3,0.0979,-10.358,0,0.027,122.009,4
123,0.148,0.611,0.494,0.0,11,0.0958,-5.988,1,0.0236,80.089,4
124,0.343,0.651,0.671,0.0,0,0.119,-8.183,1,0.27,90.135,4
125,0.731,0.764,0.326,0.0013,7,0.24,-9.883,1,0.0342,123.98,3
126,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999
